id,name,desc,main_ideology,trait
christian_rightist_democracy_ideology,キリスト教右派民主主義,キリスト教右派民主主義とは、結婚や妊娠中絶など伝統的価値観及び法や秩序を重視し、世俗主義や進化論に批判的で、反共のスタンスを取ることが共通点として挙げられる。一方で、社会構造の変動には柔軟に対応し、必ずしも現状維持を志向しない点では保守主義と異なる。,conservative_democracy,キリスト教右派民主主義者
conservative_populism_ideology,保守大衆主義,,conservative_democracy,保守大衆主義者
islamic_democracy_ideology,イスラム民主主義,,conservative_democracy,イスラム民主主義者
reformer_conservatism_ideology,改良保守主義,,conservative_democracy,改良保守主義者
social_conservatism_ideology,社会保守主義,,conservative_democracy,社会保守主義者
authority_corporatocracism_ideology,権威的企業支配主義,,authoritarian_democrat,権威的企業支配主義者
kemalism_ideology,ケマル主義,ケマル主義はムスタファ・ケマル・アタテュルクによって生み出された思想であり、トルコ共和国においては国家の主柱的イデオロギーとして定義される。\n\nケマル主義の原則は六つありそれらの原則は「六本の矢」と呼ばれており、六本の矢の教義には「共和主義」「民族主義」「人民主義」「国家資本主義」「世俗主義」「革命主義」があり、中でも世俗主義はイスラム教の影響力が強いアナトリアでは多くの物議を醸してきた。それでもアタテュルクによる建国と祖国繁栄の功績によりケマル主義はトルコ国内において確固たる地位を占めている。\n\nケマル主義は多くの人々に支持されると同時にその定義は曖昧になり、支持者の中には強硬な民族主義者や社会主義者、更には保守的なイスラム主義者まで存在しており、その事からもケマル主義が如何に多様化し、トルコ共和国そのものを定義しているかがわかる。,authoritarian_democrat,ケマル主義者
national_conservatism_ideology,国民保守主義,,authoritarian_democrat,国民保守主義者
oligarchy_ideology,寡頭制,,authoritarian_democrat,寡頭政治家
pragmatic_socialism_ideology,実用社会主義,,authoritarian_democrat,実用社会主義者
progressive_nationalism_ideology,革新民族主義,,authoritarian_democrat,革新民族主義者
supervised_parliamentary_system_ideology,統制型議会制,,authoritarian_democrat,統制型議会派
absolute_monarchism_ideology,絶対君主主義,絶対君主主義は、君主が絶対的な権力を行使する政治の形態を指す。この政治形態は歴史的に、中世までの諸侯や貴族、教会の権力が地方に乱立し、分権的であった状態から王が強大な権力を持って中央集権化を図り、中央官僚と常備軍によって国家統一を成し遂げた時代に特徴的であった政治形態を指すものである。,authoritarian_despot,絶対君主主義者
despotic_leadership_ideology,指導者独裁制,,authoritarian_despot,指導者独裁制派
feudalism_ideology,封建主義,,authoritarian_despot,封建主義者
francoism_ideology,フランコ主義,フランコ主義とは、フランシスコ・フランコの思想、すなわち国家主義、権威主義、軍国主義、そして急進カトリック主義を最大限に反映させた思想である。,authoritarian_despot,フランコ主義者
military_junta_ideology,軍事政権,軍事政権とは、軍隊が直接的に政治を執行する統治形態を指す。近代国家の原理では、軍隊は国家体制の存立を担保する強制装置ではあるが、議会政治の後景にあって「軍隊の政治的中立性」を保つべきことを建前としている。しかし現実には軍隊指導部は政治的に重要な地位を占めやすい。そのため軍隊指導部の「政治的中立性」はほとんど建前のみとなり、重要な政治的役割を果たすことになる。,authoritarian_despot,軍事政権派
theocracy_ideology,神権主義,,authoritarian_despot,神権主義者
warlordism_ideology,軍閥主義,,authoritarian_despot,軍閥主義者
clerical_fascism_ideology,宗教ファシズム,宗教ファシズムとはファシズムの権威主義的な要素と大衆主義的な要素を取り入れつつ宗教による神秘主義による権威を確立させたイデオロギーである。欧州では反共主義を掲げるファシズムと教会が結びつくことが多くあり双方が融合を成し遂げたことにより宗教ファシズムの一種である聖職者ファシズムが誕生する事に至った。このイデオロギーを適合させた社会では聖職者が大きな権威を持っており、社会生活、経済活動、政治の至るところで宗教的な要素がみられる。,national_fascism,宗教ファシスト
corporate_militarism_ideology,協調軍国主義,,national_fascism,協調軍国主義者
falangism_ideology,ファランジズム,ファランジズムはファシズムと保守主義の特徴を併せ持つ権威主義的思想で、国家主義的、カトリック的アイデンティティを重んじる。,national_fascism,ファランジスト
fasci_populism_ideology,結束大衆主義,,national_fascism,結束大衆主義者
national_syndicalism_ideology,国家サンディカリズム,国家サンディカリスムはナショナリストによるサンディカリスムの1種であり、かつてイタリアなどの労働運動に関連したイデオロギーのため、後にはベニート・ムッソリーニの国家ファシスト党の基礎ともなった思想である。,national_fascism,国家サンディカリスト
pelleyism_ideology,超方体主義,超方体主義は、ウィリアム・ダドリー・ペリーが創り出した修正ファシズムであり、宇宙と神を人間が認知できる範囲外の幾何学から解釈し、それを国家や社会に投影するファシズムである。,national_fascism,超方体主義者
solidarism_ideology,連帯主義,,national_fascism,連帯主義者
yokusan_system_ideology,翼賛体制,翼賛体制は、翼賛会などの連立を中心とする政治体制である。長期化する戦争において国防国家体制などと呼ばれる国家総力戦体制の樹立が必要となり、そのためには政府と軍部の矛盾をはじめとする支配層内部の対立解消と国民の戦争協力への自発性を永続的にひきだす組織の結成が不可欠の課題となる。その際に一部の人々の間で新体制運動が展開され、翼賛体制が施行される。基本的に総裁は首相が兼任し、多数政党の連立においては共産党などといった極左政党を除く。,national_fascism,翼賛体制派
esoteric_nazism_ideology,秘教ナチズム,秘教ナチズムとは、ナチズムを神秘的に解釈し、適応させた一連のものを指す。第二次世界大戦後、第三帝国の秘教的な解釈は、新しい宗教運動に取り入れられた。秘教ナチズムは指導者及び党は社会の中で何よりも高く評価され、厳格な人種至上主義的な法律が施行され、ナチズムを生活の至る所にまで意図的に浸透させている。また、堕落や自己満足などといった潜在的な要素を排除するために全国民にスパルタ的かつ軍事的な生活を強要している。,national_socialism,秘教ナチス
international_nazism_ideology,国際ナチズム,,national_socialism,国際ナチス
national_bolshevism_right_ideology,国家ボルシェヴィズム右派,国家ボルシェヴィズム右派はヴァイマル共和政時代のドイツで始まった。第一次世界大戦後のヴェルサイユ条約に反発したドイツの民族主義者、作家エルンスト・ユンガーは『労働者-支配と形態』を発表し、ドイツ社会民主党から転向したエルンスト・ニキシュはドイツ共産党との共闘の上での直接行動によって資本主義の打倒を主張した。NSDAPでもバンベルク会議でアドルフ・ヒトラーはグレゴール・シュトラッサー、オットー・シュトラッサー兄弟らナチス左派を「国家ボルシェヴィスト」と断じ、指導者原理を訴えた。このことをゲッベルスは日記で「我々の課題はボルシェヴィズムの粉砕であるだって？ボルシェヴィズムはユダヤ人のこしらえ物であるだって？」と批判している。,national_socialism,国家ボルシェヴィズム右派
stratocratic_nazism_ideology,軍事ナチズム,,national_socialism,軍事ナチス
esoterism_ideology,秘教主義,,ultranationalism,秘教主義者
eurasianism_ideology,ユーラシア主義,,ultranationalism,ユーラシア主義者
fundamentalism_ideology,宗教原理主義,,ultranationalism,宗教原理主義者
turanism_ideology,ツラニズム,ユーラシア大陸にはモンゴル語族、テュルク語族などのアルタイ諸語、フィン・ウゴル語派やサモエード語派などのウラル語族などがあるがそれら全てを統合した言語系統としてウラル・アルタイ語族が存在する。そのウラル・アルタイ語族文化圏、言語圏の統一性を重視し、国家間の連携などを主張するイデオロギーとして汎ツラン主義は定義される。\n\nフィンランドのマティアス・カストレンとドイツのマックス・ミュラーなど学者の著作から端を発し、トルコ人政治家のズィヤ・ギョカルプやマジャール人東洋学者のヴァーンベーリ・アールミンにより20世紀初期に徐々に体系化され、いくつかの国家では民族主義の確立のために大々的に取り上げられてきた。\n\nツラン主義は基本的には言語系統による団結を施しているが、ニハル・アトズスなどの最も急進的な派閥ではツランを人種として定義し、ツラン人種の純度を高め維持する事を目的としている。,ultranationalism,ツラン主義者
